Title,Author,Ave_rating,Rating_cnt,Review_cnt,Year,Pages,Publisher
The Flame of Olympus,Kate O'Hearn,4.26,7045,683,2013,385,
The Mostly True Story of Jack,Kelly Barnhill,3.53,2200,416,2011,323,
The Lives of Christopher Chant,Diana Wynne Jones,4.23,19693,508,1998,240,
The Fire Within,Chris d'Lacey,3.77,26241,1522,2007,340,
"Anastasia: The Last Grand Duchess, Russia, 1914",Carolyn Meyer,3.9,8260,369,2000,219,
A Corner of the Universe,Ann M. Martin,4.07,13448,1219,2005,224,
Locomotion,Jacqueline Woodson,3.98,5521,943,2004,112,
"Bone, Vol, 1: Out from Boneville",Jeff Smith,4.16,68726,2056,2005,138,
Five Children and It,E. Nesbit,3.88,20705,909,1996,237,
The Explorer,Katherine Rundell,4.15,1861,364,2017,336,
Just Like Jackie,Lindsey Stoddard,4.35,658,212,2018,256,
The First Four Years,Laura Ingalls Wilder,3.88,31871,895,2007,126,
Harriet the Invincible,Ursula Vernon,4.1,2737,449,2015,250,
Half a World Away,Cynthia Kadohata,3.81,1569,310,2014,225,
Shouldn't You Be in School?,Lemony Snicket,4.17,5141,503,2014,327,
The Cabinet of Earths,Anne Nesbet,3.75,1319,167,2012,266,
Forge,Laurie Halse Anderson,4.14,12162,1434,2011,297,
Syren,Angie Sage,4.11,29699,800,2010,628,
Becoming Naomi León,Pam Muñoz Ryan,4.03,10973,951,2005,246,
Sadako and the Thousand Paper Cranes,Eleanor Coerr,4.11,18812,1406,1999,80,
Things Not Seen,Andrew Clements,3.89,23873,1844,2004,256,
The Wright 3,Blue Balliett,3.9,8944,606,2006,318,
No Talking,Andrew Clements,3.95,15944,1152,2007,146,
Which Witch?,Eva Ibbotson,3.93,11204,532,2009,186,
Song for a Whale,Lynne   Kelly,4.3,433,133,2019,303,
The Poet's Dog,Patricia MacLachlan,4.1,2230,527,2016,112,
P.S. I Miss You,Jen Petro-Roy,4.14,565,201,2018,320,
Lord of the Flies,William Golding,3.66,1919492,31963,1999,182,
Hildafolk,Luke Pearson,4.19,4674,528,2010,24,
Fairest of All,Sarah Mlynowski,4.04,6290,666,2012,169,
Capture the Flag,Kate Messner,3.83,3632,484,2012,240,
Deadweather and Sunrise,Geoff Rodkey,3.93,2242,239,2012,296,
The Siege of Macindaw,John Flanagan,4.34,48158,1368,2006,320,
The Familiars,Adam Jay Epstein,4.08,7325,709,2010,360,
The Little White Horse,Elizabeth Goudge,4.09,10396,871,2001,238,
Wild Magic,Tamora Pierce,4.33,63822,1873,2005,362,
Gossamer,Lois Lowry,3.89,14431,1684,2006,144,
Anastasia Krupnik,Lois Lowry,3.88,13883,420,1984,113,
The Princess and the Goblin,George MacDonald,4.01,26524,1577,1997,241,
Silver on the Tree,Susan Cooper,4.15,29327,682,2000,274,
The Year of the Dog,Grace Lin,3.91,5336,568,2007,160,
Click'd,Tamara Ireland Stone,3.92,828,250,2017,304,
The House That Lou Built,Mae Respicio,4.02,340,117,3372,,
The Crown of Ptolemy,Rick Riordan,4.38,13999,765,2015,63,
Journey's End,Rachel Hawkins,3.89,514,94,2016,304,
The Book of Lost Things,Cynthia Voigt,3.71,2274,473,2013,374,
How Mirka Got Her Sword,Barry  Deutsch,3.75,6758,794,2010,144,
"Destiny, Rewritten",Kathryn Fitzmaurice,3.85,1187,199,2013,338,
Midnight,Erin Hunter,4.28,29745,895,2006,348,
A Mutiny in Time,James Dashner,3.76,5958,690,2012,192,
Charlie Bone and the Hidden King,Jenny Nimmo,3.99,21058,329,2006,441,
Betsy-Tacy,Maud Hart Lovelace,4.07,21104,1022,2007,144,
Dragon Spear,Jessica Day George,4.18,13054,707,2009,248,
The Woman Who Rides Like a Man,Tamora Pierce,4.21,62970,1398,2005,284,
"Millicent Min, Girl Genius",Lisa Yee,3.76,4083,345,2006,272,
The Call of the Wild,Jack London,3.85,286789,8459,2001,172,
Making Friends,Kristen Gudsnuk,3.75,1964,214,2018,272,
The Darkdeep,Ally Condie,3.82,545,180,2018,272,
The Sand Warrior,Mark  Siegel,3.99,1791,339,2017,248,
Quests for Glory,Soman Chainani,4.28,4359,518,2017,18,
If the Magic Fits,Susan Maupin Schmid,4.01,749,177,2016,304,
Lodestar,Shannon Messenger,4.72,6001,597,2016,688,
Red: The True Story of Red Riding Hood,Liesl Shurtliff,4.07,1764,336,2016,256,
The Detective's Assistant,Kate Hannigan,3.9,1247,270,2015,368,
The Truth About Stacey,Raina Telgemeier,4.36,8104,489,2006,144,
Coraline,P. Craig Russell,3.97,18782,1667,2008,192,
The Lightning Thief: The Graphic Novel,Robert Venditti,3.99,16373,1221,2010,135,
Peter and the Secret of Rundoon,Dave Barry,4.16,20852,897,2007,482,
Dying to Meet You,Kate Klise,4.02,7531,885,2009,155,
Loser,Jerry Spinelli,3.73,17390,1828,2002,218,
The Way to Bea,Kat Yeh,4.15,648,162,2017,352,
Inkling,Kenneth Oppel,4.19,602,181,2018,272,
Worlds Collide,Chris Colfer,4.55,9495,976,2017,480,
Miss Ellicott's School for the Magically Minded,Sage Blackwood,3.68,636,155,2017,368,
The Adventurers Guild,Zack Loran Clark,4.11,589,173,2017,320,
To Kill a Mockingbird,Harper Lee,4.27,3877888,82291,2006,324,
Last Day on Mars,Kevin Emerson,3.9,1129,275,2017,336,
Handbook for Dragon Slayers,Merrie Haskell,3.78,1282,223,2013,336,
Cardboard,Doug TenNapel,4.13,11825,972,2012,288,
"Love, Stargirl",Jerry Spinelli,3.81,36709,3042,2007,288,
This Isn't What It Looks Like,Pseudonymous Bosch,4.3,12699,474,2010,423,
"Elizabeth I: Red Rose of the House of Tudor, England, 1544",Kathryn Lasky,3.92,8742,336,1999,238,
A Living Nightmare,Darren Shan,4.07,47068,3182,2002,272,
Ptolemy's Gate,Jonathan Stroud,4.25,76005,1981,2006,501,
Bloomability,Sharon Creech,4.03,9155,714,2012,273,
The Princess Test,Gail Carson Levine,3.76,10190,299,1999,96,
The Castle in the Attic,Elizabeth Winthrop,3.96,16714,679,1994,179,
Heartbeat,Sharon Creech,3.92,9130,1045,2012,208,
Saving Winslow,Sharon Creech,3.78,1722,337,2018,176,
No Fixed Address,Susin Nielsen,4.37,832,242,2018,288,
The Losers Club,Andrew Clements,4.11,1227,267,2017,231,
Some Writer!: The Story of E. B. White,Melissa Sweet,4.43,3241,928,2016,176,
Unidentified Suburban Object,Mike Jung,3.52,665,159,2016,272,
Drowned City: Hurricane Katrina and New Orleans,Don  Brown,4.02,7352,1170,2015,96,
This One Summer,Mariko Tamaki,3.67,46408,4711,2014,320,
The School Story,Andrew Clements,3.96,10553,653,2002,224,
War Horse,Michael Morpurgo,4.14,36631,4289,2007,165,
Hound Dog True,Linda Urban,3.8,4025,422,2011,160,
Witch Week,Diana Wynne Jones,3.92,11890,447,2001,288,
The Invasion,K.A. Applegate,3.8,12346,755,1996,184,
Ever,Gail Carson Levine,3.44,18999,1704,2008,244,
Ruby Holler,Sharon Creech,4.03,14335,1112,2012,288,
Alcatraz Versus the Scrivener's Bones,Brandon Sanderson,4.11,9740,847,2008,322,
Masterpiece,Elise Broach,3.92,7592,825,2008,292,
Arlo Finch in the Valley of Fire,John August,4.05,1114,250,2018,336,
The Unicorn Quest,Kamilla Benko,4.21,416,126,2018,320,
The Mystery of the Clockwork Sparrow,Katherine Woodfine,3.99,1940,296,2015,320,
The League of Beastly Dreadfuls,Holly Grant,3.65,1061,213,2015,320,
NewsPrints,Ru Xu,3.71,1416,289,2323,,
Hidden: A Child's Story of the Holocaust,Loïc Dauvillier,4.12,6459,688,2014,80,
Mary Anne Saves the Day,Raina Telgemeier,4.36,7539,387,2007,160,
The Hound of Rowan,Henry H. Neff,4.02,11447,767,2007,421,
Half Upon a Time,James  Riley,4.16,5392,525,2010,385,
The Face on the Milk Carton,Caroline B. Cooney,3.72,51144,2618,1996,192,
Tangerine,Edward Bloor,3.61,26436,2543,2006,312,
Chasing Redbird,Sharon Creech,4.08,11185,695,2007,224,
The Fairy's Mistake,Gail Carson Levine,3.79,11912,288,1999,96,
Magic and Other Misdemeanors,Michael Buckley,4.3,17201,454,2007,304,
Wringer,Jerry Spinelli,3.63,12921,957,2004,240,
Prisoner of Ice and Snow,Ruth Lauren,3.95,585,185,2017,288,
The Swap,Megan Shull,4.17,3338,683,2014,382,
Almost Home,Joan Bauer,4.24,7600,906,2012,240,
Tris's Book,Tamora Pierce,4.08,28347,495,2006,251,
Renegade Magic,Stephanie Burgis,4.1,1654,172,2012,336,
Playing with Fire,Derek Landy,4.31,21569,1169,2008,389,
Museum of Thieves,Lian Tanner,3.91,5104,560,2010,312,
Surviving the Applewhites,Stephanie S. Tolan,3.65,10615,681,2003,240,
Emily of New Moon,L.M. Montgomery,4.1,39154,1492,1983,339,
Wayside School Gets A Little Stranger,Louis Sachar,4.19,18483,504,2004,176,
The Merchant of Death,D.J. MacHale,3.94,44393,1888,2002,375,
The Little House Collection,Laura Ingalls Wilder,4.34,134462,2101,2003,2700,
Demigods & Magicians: Percy and Annabeth Meet the Kanes,Rick Riordan,4.35,7439,611,2016,224,
The Wonderling,Mira Bartok,3.82,1004,239,2017,450,
The Remarkable Journey of Charlie Price,Jennifer Maschari,4.12,549,169,2016,304,
The Lie Tree,Frances Hardinge,3.86,16278,2706,2015,410,
Cartwheeling in Thunderstorms,Katherine Rundell,3.99,1583,324,2014,256,
The Grimm Conclusion,Adam Gidwitz,4.21,3578,465,2013,344,
Legends of Zita the Spacegirl,Ben Hatke,4.22,8099,482,2012,224,
Night of the Living Dummy,R.L. Stine,3.83,20895,964,2003,134,
Rose,Holly Webb,3.99,1999,252,2009,259,
The Adventures of Captain Underpants,Dav Pilkey,3.91,31020,2138,2000,125,
Mossflower,Brian Jacques,4.1,61093,780,1998,373,
Among the Brave,Margaret Peterson Haddix,4.15,18324,624,2005,256,
Heart of a Samurai,Margi Preus,3.91,6089,836,2010,305,
The Akhenaten Adventure,P.B. Kerr,3.76,17289,663,2005,384,
A Drowned Maiden's Hair,Laura Amy Schlitz,3.94,4033,625,2006,389,
Missing May,Cynthia Rylant,3.79,11495,642,2004,89,
My Father's Dragon,Ruth Stiles Gannett,4.1,31183,1545,2005,96,
Saffy's Angel,Hilary McKay,3.98,4056,415,2003,160,
Shadow Weaver,MarcyKate Connolly,3.87,603,215,2018,320,
9 From the Nine Worlds,Rick Riordan,3.97,2650,381,2018,176,
Illegal,Eoin Colfer,4.28,2683,624,2017,144,
Aru Shah and the Song of Death,Roshani Chokshi,4.24,103,44,2019,,
One True Way,Shannon Hitchcock,3.83,445,110,2018,224,
Mighty Jack and the Goblin King,Ben Hatke,4.26,1447,291,2017,208,
Lemons,Melissa  Savage,4.15,1072,261,2017,308,
A Pocket Full of Murder,R.J. Anderson,3.95,699,140,2015,352,
The Boy Who Lost Fairyland,Catherynne M. Valente,4.15,2184,391,2015,235,
Omega City,Diana Peterfreund,3.82,593,129,2015,336,
Odin's Ravens,K.L. Armstrong,4.14,3087,261,2014,342,
"The Great Trouble: A Mystery of London, the Blue Death, and a Boy Called Eel",Deborah Hopkinson,3.88,2822,536,2013,249,
The Lost Heir,Tui T. Sutherland,4.52,13222,730,2013,296,
Giants Beware!,Jorge Aguirre,4.02,8063,426,2012,208,
You Have to Stop This,Pseudonymous Bosch,4.33,10207,504,2011,352,
Seeds of Rebellion,Brandon Mull,4.27,24604,1293,2012,512,
Floors,Patrick Carman,3.94,3799,444,2011,261,
Among the Barons,Margaret Peterson Haddix,4.08,19460,691,2004,208,
The Clique,Lisi Harrison,3.6,29369,2446,2004,220,
The Nixie's Song,Tony DiTerlizzi,3.73,9866,440,2007,162,
A Light in the Attic,Shel Silverstein,4.34,342004,2709,2002,176,
The Twenty-One Balloons,William Pène du Bois,3.97,20380,1188,1986,180,
Esio Trot,Roald Dahl,3.74,29398,1542,2003,80,
How to Steal a Dog,Barbara O'Connor,3.92,9331,1061,2007,170,
Ramona and Her Mother,Beverly Cleary,4.09,22261,497,2013,224,
Freckle Juice,Judy Blume,3.83,39315,894,1988,40,
Cogheart,Peter Bunzl,4.06,1543,337,2016,362,
The Littlest Bigfoot,Jennifer Weiner,3.68,1706,321,2016,304,
Tru & Nelle,G. Neri,3.77,1223,335,2016,336,
The Box and the Dragonfly,Ted  Sanders,4.16,1049,167,2015,544,
Alistair Grim's Odditorium,Gregory Funaro,3.87,931,238,2015,432,
The Hero's Guide to Being an Outlaw,Christopher Healy,4.31,2377,285,2014,529,
Jack: The True Story of Jack and the Beanstalk,Liesl Shurtliff,3.97,1866,326,2015,,
Under Wildwood,Colin Meloy,3.93,5564,573,2012,559,
Moonrise,Erin Hunter,4.32,25860,628,2006,320,
Vespers Rising,Rick Riordan,4.12,32138,576,2011,238,
Eight Keys,Suzanne LaFleur,4.06,6285,963,2011,224,
How to Speak Dragonese,Cressida Cowell,4.13,9950,609,2006,256,
Ghostopolis,Doug TenNapel,4.04,11277,1041,2010,272,
Old Yeller,Fred Gipson,4.08,78580,1948,2001,132,
Plain Kate,Erin Bow,3.74,5721,955,2010,314,
The Thirteenth Princess,Diane Zahler,3.94,5704,418,2010,256,
Journey to the River Sea,Eva Ibbotson,4.17,10819,771,2003,304,
All-of-a-Kind Family,Sydney Taylor,4.21,21862,906,2005,188,
The Magic Finger,Roald Dahl,3.68,26017,1451,2001,67,
Criss Cross,Lynne Rae Perkins,3.34,8033,1156,2005,337,
The Hunger Games,Suzanne Collins,4.33,5678768,162099,2008,374,
The Adventures of a Girl Called Bicycle,Christina Uss,4.12,504,158,2018,320,
The Care and Feeding of a Pet Black Hole,Michelle Cuevas,4.09,487,136,2017,208,
The Lost Property Office,James R. Hannibal,3.76,897,220,2016,390,
Harry Potter Series Box Set,J.K. Rowling,4.74,226765,6933,2007,4100,
The Evil Wizard Smallbone,Delia Sherman,3.94,731,183,2016,416,
Sophie Quire and the Last Storyguard,Jonathan Auxier,4.4,1518,276,2016,464,
We Are All Made of Molecules,Susin Nielsen,3.88,9607,1624,2015,256,
Boys of Blur,N.D. Wilson,3.85,1282,303,2014,208,
Star Wars: Jedi Academy,Jeffrey Brown,4.23,8739,910,2013,160,
The Spiderwick Chronicles Box Set,Tony DiTerlizzi,4.04,11321,806,2004,602,
"Marie Antoinette: Princess of Versailles, Austria - France, 1769",Kathryn Lasky,3.88,7947,358,2000,238,
Beholding Bee,Kimberly Newton Fusco,4.02,2370,373,2013,336,
Summer and Bird,Katherine Catmull,3.6,1110,282,2012,346,
The Princess in Black,Shannon Hale,4.06,6090,1266,2014,90,
Dinosaurs Before Dark,Mary Pope Osborne,3.9,27566,2251,1992,80,
Dawn,Erin Hunter,4.33,23827,506,2006,335,
The Last Dragonslayer,Jasper Fforde,3.87,17941,2614,2012,287,
Belly Up,Stuart Gibbs,4.2,6873,784,2010,294,
Dork Diaries Book 2: Tales from a Not-So-Popular Party Girl,Rachel Renée Russell,4.27,34757,1227,2010,288,
Sent,Margaret Peterson Haddix,3.95,15368,1237,2009,320,
School of Fear,Gitty Daneshvari,3.78,7583,748,2009,352,
Henry Huggins,Beverly Cleary,3.99,24936,613,2000,155,
Tunnel of Bones,Victoria Schwab,3.93,14,16,2419,,
The Vanderbeekers and the Hidden Garden,Karina Yan Glaser,4.46,894,215,2018,336,
Anne of Green Gables: A Graphic Novel,Mariah Marsden,4.26,2111,599,2017,232,
Finding Perfect,Elly Swartz,4.34,1048,262,2016,304,
Nimona,Noelle Stevenson,4.18,77183,9164,2015,272,
Frostborn,Lou Anders,3.87,1268,251,2014,352,
Caminar,Skila Brown,3.95,1086,225,2014,208,
Words with Wings,Nikki Grimes,3.98,2629,449,2013,96,
When Audrey Met Alice,Rebecca Behrens,3.83,783,191,2014,304,
I Funny: A Middle School Story,James Patterson,4.14,9987,1398,2012,320,
The Mystery Boxes,Kazu Kibuishi,3.99,5765,480,2012,128,
Island of Silence,Lisa McMann,4.34,9987,708,2012,416,
A Wizard of Earthsea,Ursula K. Le Guin,4.0,198061,7401,2004,183,
Silverwing,Kenneth Oppel,4.05,12002,515,1998,272,
Erak's Ransom,John Flanagan,4.32,45640,1384,2007,441,
The Storm in the Barn,Matt Phelan,3.73,3456,570,2009,208,
Tom's Midnight Garden,Philippa Pearce,4.07,20799,700,1992,240,
Shakespeare's Secret,Elise Broach,3.87,7894,735,2005,256,
The Last of the Really Great Whangdoodles,Julie Andrews Edwards,4.25,11081,1039,1999,209,
The Extremely Inconvenient Adventures of Bronte Mettlestone,Jaclyn Moriarty,4.32,500,112,2017,512,
The World's Greatest Detective,Caroline Carlson,4.11,372,81,2017,368,
The Golden Specific,S.E. Grove,4.12,1642,242,2015,505,
The Return of Zita the Spacegirl,Ben Hatke,4.29,5568,368,2014,240,
"A Journey to the New World: The Diary of Remember Patience Whipple, Mayflower, 1620",Kathryn Lasky,3.63,7482,235,1996,173,
The Kings of Clonmel,John Flanagan,4.29,42727,1133,2010,320,
Briar's Book,Tamora Pierce,4.16,26851,438,2000,258,
Daja's Book,Tamora Pierce,4.08,26126,398,2006,232,
Deep and Dark and Dangerous (A Ghost Story),Mary Downing Hahn,4.22,15491,1864,2007,187,
First Test,Tamora Pierce,4.25,47290,1324,2000,240,
Claudia and the Phantom Phone Calls,Ann M. Martin,3.78,6635,244,1995,153,
The Bridge Home,Padma Venkatraman,4.53,412,137,2019,208,
Nightfall,Shannon Messenger,4.69,4609,525,2017,576,
Bayou Magic,Jewell Parker Rhodes,3.94,649,152,2015,256,
Egg & Spoon,Gregory Maguire,3.63,5285,1025,2014,475,
Twerp,Mark Goldblatt,3.85,3069,573,2013,288,
Sunset,Erin Hunter,4.37,24156,440,2007,303,
A Hero For WondLa,Tony DiTerlizzi,4.25,4383,482,2012,445,
Charlie Joe Jackson's Guide to Not Reading,Tommy Greenwald,3.95,4913,600,2011,224,
Emily Windsnap and the Monster from the Deep,Liz Kessler,3.94,8314,436,2006,219,
Say Cheese and Die!,R.L. Stine,3.74,19044,699,2003,144,
Island of the Aunts,Eva Ibbotson,3.93,7845,368,2001,304,
Sounder,William H. Armstrong,3.96,26453,1060,2002,128,
Queen of the World!,Jennifer L. Holm,3.87,17016,701,2005,96,
The Everafter War,Michael Buckley,4.33,14216,484,2009,306,
Good Masters! Sweet Ladies!: Voices from a Medieval Village,Laura Amy Schlitz,3.64,7506,947,2007,96,
Mandy,Julie Andrews Edwards,4.24,10300,939,2006,320,
Ramona Forever,Beverly Cleary,4.06,29733,434,1996,150,
Eventown,Corey Ann Haydu,4.11,276,90,2019,328,
One for Sorrow,Mary Downing Hahn,3.81,1403,314,2017,304,
Boy: Tales of Childhood,Roald Dahl,4.1,47903,2406,2001,176,
The Stone Heart,Faith Erin Hicks,4.2,1803,320,2017,240,
The Great Shelby Holmes,Elizabeth Eulberg,3.97,762,181,2016,243,
Felix Yz,Lisa Bunker,3.62,732,193,2017,288,
"Lumberjanes, Vol. 3: A Terrible Plan",Noelle Stevenson,4.07,12454,1036,2016,112,
Grayling's Song,Karen Cushman,3.25,694,206,2016,224,
A Dragon's Guide to the Care and Feeding of Humans,Laurence Yep,3.79,1454,289,2015,152,
The Tapper Twins Go to War (with each other),Geoff Rodkey,4.03,1598,261,2015,219,
Why Is This Night Different from All Other Nights?,Lemony Snicket,4.13,3809,441,2015,295,
The Forbidden Stone,Tony Abbott,3.85,2226,343,2014,423,
The Surprise Attack of Jabba the Puppett,Tom Angleberger,4.21,4403,396,2013,214,
Bluffton: My Summers with Buster Keaton,Matt Phelan,3.92,4530,381,2013,240,
Starlight,Erin Hunter,4.3,19106,412,2007,336,
Jefferson's Sons,Kimberly Brubaker Bradley,4.06,5661,929,2011,368,
The Medusa Plot,Gordon Korman,4.08,27416,587,2011,222,
Sammy Keyes and the Hotel Thief,Wendelin Van Draanen,3.97,5358,445,1999,163,
Touch Blue,Cynthia Lord,3.86,7363,578,2010,186,
Keeper,Kathi Appelt,3.73,3022,522,2010,416,
No More Dead Dogs,Gordon Korman,3.71,7617,848,2002,180,
"Voyage on the Great Titanic: The Diary of Margaret Ann Brady, R.M.S. Titanic, 1912",Ellen Emerson White,3.97,8200,537,1998,204,
Anne of Windy Poplars,L.M. Montgomery,4.07,64593,1796,1983,288,
The Saturdays,Elizabeth Enright,4.15,7999,539,2002,177,
Lioness Rampant,Tamora Pierce,4.29,73608,1482,2005,384,
Playing Atari with Saddam Hussein,Jennifer Roy,3.9,498,133,2018,176,
Took: A Ghost Story,Mary Downing Hahn,4.01,4867,850,2015,272,
Sticks & Stones,Abby Cooper,3.97,994,264,2016,288,
The Unmapped Sea,Maryrose Wood,4.23,2258,311,2015,421,
"Jessica Darling's It List: The (Totally Not) Guaranteed Guide to Popularity, Prettiness & Perfection",Megan McCafferty,3.96,1341,229,2013,223,
The Ability,M.M. Vaughan,4.12,1044,156,2013,330,
Hokey Pokey,Jerry Spinelli,3.32,1789,497,2013,304,
The Vengekeep Prophecies,Brian Farrey,4.01,1264,188,2012,397,
Chasing the Prophecy,Brandon Mull,4.36,16279,1150,2013,512,
Anya's Ghost,Vera Brosgol,3.88,54107,4640,2011,224,
Cold Cereal,Adam Rex,3.67,1907,363,2012,432,
The Fourth Stall,Chris Rylander,4.04,4175,628,2011,314,
The Journey,Kathryn Lasky,4.0,11551,450,2003,242,
Big Nate: In a Class by Himself,Lincoln Peirce,4.18,28060,1122,2010,224,
The Cay,Theodore Taylor,3.75,29703,2279,2003,156,
Alcatraz Versus the Knights of Crystallia,Brandon Sanderson,4.1,7800,583,2009,299,
The Green Glass Sea,Ellen Klages,4.03,6098,923,2006,324,
The Supernaturalist,Eoin Colfer,3.85,25889,1117,2005,267,
The Sea of Trolls,Nancy Farmer,4.0,13967,1017,2006,459,
Gone-Away Lake,Elizabeth Enright,4.13,6500,472,2000,256,
The Black Stallion,Walter Farley,4.19,65759,1122,1941,275,
The Third Mushroom,Jennifer L. Holm,4.05,784,199,2018,240,
Lions and Liars,Kate Beasley,3.72,583,131,2018,304,
Slider,Pete Hautman,3.93,1042,221,2017,288,
One Half from the East,Nadia Hashimi,3.96,1384,248,2016,288,
Two Naomis,Olugbemisola Rhuday-Perkovich,3.88,460,109,2016,208,
The Crystal Ribbon,Celeste Lim,3.92,232,77,2017,352,
Rhyme Schemer,K.A. Holt,3.98,1978,399,2014,176,
Courage for Beginners,Karen Harrington,3.97,1799,322,2014,304,
