Title,Author,Ave_rating,Rating_cnt,Review_cnt,Year,Pages,Publisher
Charmed Life,Diana Wynne Jones,3.96,27414,1046,2000,252,HarperCollins Children's Books
Inkdeath,Cornelia Funke,3.94,64802,2932,2007,699,Chicken House
The Stars Beneath Our Feet,David Barclay Moore,3.91,2599,523,2017,304,Knopf Books for Young Readers
Nightbird,Alice Hoffman,3.83,4898,1034,2015,208,Simon &amp; Schuster UK
The Year of Shadows,Claire Legrand,4.06,1057,186,2013,416,Simon &amp; Schuster Books For Young Readers
The Neverending Story,Michael Ende,4.18,140306,5321,1997,396,Dutton Children's Books
The Tiger Rising,Kate DiCamillo,3.8,18692,2266,2002,128,Candlewick Press
The Boxcar Children,Gertrude Chandler Warner,4.1,109269,2755,1989,160,Albert Whitman  Company
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,3.91,838474,58160,2011,352,Quirk
The Enchantress Returns,Chris Colfer,4.49,29838,2258,2013,517,"Little, Brown Books for Young Readers"
Secrets of the Dragon Sanctuary,Brandon Mull,4.37,68120,2873,2009,535,Shadow Mountain
The Time Paradox,Eoin Colfer,4.07,71865,2049,2008,391,Hyperion
The Seventh Wish,Kate Messner,4.18,2730,644,2016,228,Bloomsbury USA Childrens
The Colossus Rises,Peter Lerangis,3.84,11874,1066,2013,348,HarperCollins
The Wizards of Once,Cressida Cowell,3.85,3999,818,2017,393,Hodder Children's Books
Orbiting Jupiter,Gary D. Schmidt,4.22,18928,3678,2015,183,Clarion Books
The Boundless,Kenneth Oppel,3.89,4895,932,2014,332,Simon  Schuster Books for Young Readers
Shiloh,Phyllis Reynolds Naylor,3.93,68533,2053,2003,145,Aladdin Paperbacks
Restart,Gordon Korman,4.22,8128,1401,2017,256,Scholastic Press
Ice Wolves,Amie Kaufman,3.94,1082,253,2018,326,HarperCollins
Magic Marks the Spot,Caroline Carlson,4.05,3472,453,2013,358,HarperCollins
The Lions of Little Rock,Kristin Levine,4.23,16221,1884,2012,298,G.P. Putnam's Sons Books for Young Readers
Brave,Svetlana Chmakova,4.33,4532,755,2017,248,JY
A World Without Heroes,Brandon Mull,4.09,32468,2798,2011,457,Aladdin
"Ramona Quimby, Age 8",Beverly Cleary,4.09,65058,1379,1982,190,Yearling
All Summer Long,Hope Larson,3.78,2382,495,2018,176,"Farrar, Straus and Giroux (Byr)"
Short,Holly Goldberg Sloan,3.78,3982,692,2017,304,Dial Books
Moo,Sharon Creech,3.86,5806,998,2016,288,HarperCollins
The Last Council,Kazu Kibuishi,4.39,16682,1074,2011,219,Graphix
The Penderwicks at Point Mouette,Jeanne Birdsall,4.31,11866,1072,2011,295,Knopf Books for Young Readers
Little Women,Louisa May Alcott,4.06,1468265,20339,2004,449,Signet Classics
Mighty Jack,Ben Hatke,4.08,4051,589,2016,208,First Second
Theodosia and the Serpents of Chaos,R.L. LaFevers,3.86,7195,651,2007,344,Houghton Mifflin
On the Banks of Plum Creek,Laura Ingalls Wilder,4.19,85051,1504,2007,358,HarperTrophy
